City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Witu,KE,77.16,broken clouds,-2.3889,40.4382,
422,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
424,Lampazos De Naranjo,MX,89.02,clear sky,27.0167,-100.5167,Bella Vista
426,Bani Walid,LY,77.49,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
429,Luganville,VU,82.06,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
431,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
434,Ascension,US,84.27,broken clouds,30.2169,-90.9001,Highland Inn
435,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
436,Petatlan,MX,76.53,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
441,San Buenaventura,MX,87.04,clear sky,27.0833,-101.5333,Hotel Gran Plaza
442,Byron Bay,AU,80.71,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
444,Negombo,LK,75.25,broken clouds,7.2083,79.8358,Hotel Sunset Beach
449,Kavieng,PG,84.04,light rain,-2.5744,150.7967,Nusa Island Retreat
453,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
454,Puerto Leguizamo,CO,84.09,broken clouds,-0.1934,-74.7819,la casona de juancho
456,Magdalena,PH,81.79,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
458,Sabha,LY,82.49,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
465,San Juan,AR,75.49,clear sky,-31.5375,-68.5364,Hotel Provincial
466,Omboue,GA,75.7,overcast clouds,-1.5746,9.2618,Hotel Olako
473,Daru,PG,81.91,broken clouds,-9.0763,143.2092,Daru Lodge
475,Pokaran,IN,77.11,scattered clouds,26.9167,71.9167,Motel Pokaran - RTDC
476,Malakal,SS,78.66,clear sky,9.5334,31.6605,Nile Palace Hotel
479,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
485,Hatillo,PR,85.1,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
486,Kulhudhuffushi,MV,81.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
487,Kismayo,SO,77.68,clear sky,-0.3582,42.5454,Agan-Hotel
488,Jibuti,DJ,80.02,broken clouds,11.5,42.5,Orchid Main Camp Goubet
489,Bontang,ID,75.6,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
493,Gao,ML,87.75,overcast clouds,16.6362,1.637,
495,Mandera,KE,82.89,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
501,Vengurla,IN,75.6,scattered clouds,15.8667,73.6333,Tripvillas @ Golven Resorts
502,Hirara,JP,76.03,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
505,Katubao,PH,79.38,overcast clouds,5.8892,124.8294,IML Ecopark
511,Ribeira Do Pombal,BR,78.66,heavy intensity rain,-10.8344,-38.5358,Pousada Central
518,Hopelchen,MX,87.08,overcast clouds,19.7667,-89.85,Hotel Jaguar
529,Cravo Norte,CO,84.07,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
