City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Tiksi,RU,2021-10-23 17:25:36,71.6872,128.8694,-2.24,100,97,4.27
110,Husavik,IS,2021-10-23 17:21:20,66.0449,-17.3389,37.31,98,100,2.17
111,Saint-Paul,RE,2021-10-23 17:23:38,-21.0096,55.2707,75.99,95,54,4.0
112,San Patricio,US,2021-10-23 17:25:36,28.017,-97.5169,86.05,58,98,11.34
113,Novyye Gorki,RU,2021-10-23 17:25:36,56.7253,41.0601,39.78,85,96,13.13
114,Rovenki,UA,2021-10-23 17:25:37,48.0833,39.3776,52.02,74,100,8.93
115,Itupiranga,BR,2021-10-23 17:25:37,-5.1347,-49.3267,88.12,69,98,4.65
116,Hithadhoo,MV,2021-10-23 17:25:38,-0.6,73.0833,82.35,74,100,11.23
117,San Carlos De Bariloche,AR,2021-10-23 17:25:38,-41.1456,-71.3082,55.15,38,20,32.21
118,Lorengau,PG,2021-10-23 17:25:38,-2.0226,147.2712,80.28,81,97,8.39
119,Vaini,TO,2021-10-23 17:25:39,-21.2,-175.2,69.96,88,75,10.36
120,Portland,US,2021-10-23 17:21:44,45.5234,-122.6762,53.17,94,90,1.01
121,Baghdad,IQ,2021-10-23 17:21:23,33.3406,44.4009,76.91,27,40,4.61
122,Charters Towers,AU,2021-10-23 17:25:39,-20.1,146.2667,70.3,87,35,3.53
123,Owando,CG,2021-10-23 17:25:39,-0.4819,15.8999,72.32,98,100,1.7
124,Mehamn,NO,2021-10-23 17:25:40,71.0357,27.8492,35.6,63,100,18.03
125,Mount Isa,AU,2021-10-23 17:25:40,-20.7333,139.5,71.37,73,87,3.44
126,Souillac,MU,2021-10-23 17:25:41,-20.5167,57.5167,75.58,78,40,10.36
127,Pevek,RU,2021-10-23 17:25:41,69.7008,170.3133,12.29,94,100,7.11
128,Mar Del Plata,AR,2021-10-23 17:25:41,-38.0023,-57.5575,68.02,64,40,7.0
129,Norman Wells,CA,2021-10-23 17:25:41,65.282,-126.8329,37.44,75,20,4.61
130,Chibombo,ZM,2021-10-23 17:25:42,-14.6569,28.0706,84.56,27,84,4.25
131,Mount Darwin,ZW,2021-10-23 17:25:42,-16.7725,31.5838,85.41,27,40,4.32
132,Arraial Do Cabo,BR,2021-10-23 17:25:43,-22.9661,-42.0278,78.76,73,0,20.71
133,Los Llanos De Aridane,ES,2021-10-23 17:25:43,28.6585,-17.9182,67.12,77,75,5.99
134,Urusha,RU,2021-10-23 17:25:44,54.05,122.9,30.85,88,10,1.21
135,Shingu,JP,2021-10-23 17:25:44,33.7333,135.9833,49.57,74,0,7.11
136,Nantucket,US,2021-10-23 17:25:44,41.2835,-70.0995,64.51,72,20,13.8
137,San Juan,AR,2021-10-23 17:25:45,-31.5375,-68.5364,73.42,22,0,9.69
138,Emerald,AU,2021-10-23 17:25:45,-23.5333,148.1667,77.14,69,100,4.61
139,Torres,BR,2021-10-23 17:25:45,-29.3353,-49.7269,77.34,64,61,12.06
140,Pringsewu,ID,2021-10-23 17:25:46,-5.3582,104.9744,73.49,96,99,0.92
141,San Nicolas,PH,2021-10-23 17:25:46,18.1725,120.5953,78.13,80,99,6.29
142,Conway,US,2021-10-23 17:22:40,35.0887,-92.4421,77.02,61,1,3.0
143,Koran,BA,2021-10-23 17:25:46,43.8103,18.5689,40.51,100,75,4.61
144,Kuliyapitiya,LK,2021-10-23 17:25:47,7.4688,80.0401,78.48,96,42,3.13
145,Fairbanks,US,2021-10-23 17:25:47,64.8378,-147.7164,27.61,90,1,0.0
146,Barwadih,IN,2021-10-23 17:25:48,23.8333,84.1167,65.55,74,0,3.24
147,Kodiak,US,2021-10-23 17:25:48,57.79,-152.4072,44.11,76,90,12.66
148,Nuuk,GL,2021-10-23 17:25:48,64.1835,-51.7216,29.01,46,40,9.22
149,Airai,TL,2021-10-23 17:25:48,-8.9266,125.4092,61.74,86,82,1.48
150,Thompson,CA,2021-10-23 17:25:49,55.7435,-97.8558,33.96,75,75,4.61
151,Northam,GB,2021-10-23 17:25:49,51.0333,-4.2167,56.01,75,99,16.73
152,Lokoja,NG,2021-10-23 17:25:50,7.8024,6.743,79.2,83,79,4.09
153,Waddan,LY,2021-10-23 17:25:50,29.1614,16.139,86.56,16,87,9.53
154,Sambava,MG,2021-10-23 17:25:51,-14.2667,50.1667,76.23,90,36,3.22
155,Grindavik,IS,2021-10-23 17:25:51,63.8424,-22.4338,46.87,100,75,13.8
156,Ulladulla,AU,2021-10-23 17:25:26,-35.35,150.4667,60.76,89,97,12.44
157,Khanapur,IN,2021-10-23 17:25:51,15.6333,74.5167,70.0,96,100,1.48
158,Bondoukou,CI,2021-10-23 17:25:52,8.0333,-2.8,77.7,86,95,4.23
159,Morro Bay,US,2021-10-23 17:25:52,35.3658,-120.8499,67.82,71,69,3.0
160,Hambantota,LK,2021-10-23 17:25:52,6.1241,81.1185,79.83,77,14,13.0
161,Noumea,NC,2021-10-23 17:25:53,-22.2763,166.4572,67.98,84,79,9.66
162,Kudahuvadhoo,MV,2021-10-23 17:25:53,2.6708,72.8944,82.98,73,13,14.05
163,Puerto Madryn,AR,2021-10-23 17:20:54,-42.7692,-65.0385,61.84,19,3,13.56
164,Tuktoyaktuk,CA,2021-10-23 17:25:54,69.4541,-133.0374,28.4,93,90,11.5
165,Nikolskoye,RU,2021-10-23 17:25:54,59.7035,30.7861,37.29,91,100,9.04
166,Dunedin,NZ,2021-10-23 17:25:54,-45.8742,170.5036,53.8,82,100,14.0
167,Mahabaleshwar,IN,2021-10-23 17:25:55,17.9167,73.6667,59.77,87,15,0.43
168,Zabid,YE,2021-10-23 17:25:55,14.1951,43.3152,88.0,55,48,7.14
169,Tuatapere,NZ,2021-10-23 17:25:55,-46.1333,167.6833,50.97,97,100,0.89
170,Micheweni,TZ,2021-10-23 17:25:56,-4.9667,39.8333,77.5,77,95,8.72
171,Bradford,GB,2021-10-23 17:22:32,53.7939,-1.7521,53.62,72,40,19.57
172,Davenda,RU,2021-10-23 17:25:56,53.5556,119.317,31.32,84,4,2.26
173,Carnarvon,AU,2021-10-23 17:23:24,-24.8667,113.6333,69.87,73,0,13.8
174,Bud,US,2021-10-23 17:23:33,39.447,-86.1758,57.88,72,64,4.65
175,Mahebourg,MU,2021-10-23 17:25:57,-20.4081,57.7,75.49,78,40,10.36
