City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Springbok,ZA,-29.6643,17.8865,48.43,69,0,7.52,clear sky
243,Kailaras,IN,26.3167,77.6167,70.95,60,0,3.85,clear sky
244,Mar Del Plata,AR,-38.0023,-57.5575,59.02,62,20,21.99,few clouds
245,Kirakira,SB,-10.4544,161.9205,84.52,69,37,8.81,scattered clouds
246,Guane,CU,22.2025,-84.0875,81.7,76,100,4.07,overcast clouds
247,Hoquiam,US,46.9809,-123.8893,57.92,59,90,6.91,overcast clouds
248,Dingle,PH,10.9995,122.6711,75.13,94,100,4.16,overcast clouds
249,Angoche,MZ,-16.2325,39.9086,74.91,80,16,9.44,few clouds
250,Kazanka,UA,47.8462,32.8218,41.38,53,4,7.11,clear sky
251,Cayenne,GF,4.9333,-52.3333,78.1,88,75,2.3,heavy intensity rain
252,Ginda,IN,30.6945,78.4932,48.51,67,21,5.82,few clouds
253,Makat,KZ,47.6469,53.3463,50.47,35,6,9.4,clear sky
254,Half Moon Bay,US,37.4636,-122.4286,69.93,64,20,9.22,haze
255,Tobermory,CA,45.2501,-81.6665,49.3,72,39,4.63,scattered clouds
256,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,75,4.47,broken clouds
257,Sitka,US,57.0531,-135.33,48.09,61,90,12.66,light rain
258,Kahului,US,20.8947,-156.47,84.22,71,40,19.57,scattered clouds
259,Kichera,RU,55.9375,110.0997,28.62,84,88,2.19,overcast clouds
260,Pemangkat,ID,1.1667,108.9667,76.33,87,70,4.94,broken clouds
261,Iwanai,JP,42.9744,140.5089,51.89,77,79,7.11,broken clouds
262,Robe,AU,-37.1833,139.75,53.13,66,99,15.46,overcast clouds
263,Vao,NC,-22.6667,167.4833,72.36,76,13,14.03,few clouds
264,Opuwo,NA,-18.0607,13.84,67.1,27,6,5.35,clear sky
265,Norman Wells,CA,65.282,-126.8329,44.64,61,20,10.36,few clouds
266,Port Alfred,ZA,-33.5906,26.891,60.4,63,2,18.81,clear sky
267,Awbari,LY,26.5921,12.7805,81.39,16,66,14.14,broken clouds
268,Khatanga,RU,71.9667,102.5,10.45,93,100,17.2,overcast clouds
269,Dehui,CN,44.5333,125.7,37.71,70,0,9.17,clear sky
270,Geraldton,AU,-28.7667,114.6,52.21,87,26,4.61,scattered clouds
271,Pevek,RU,69.7008,170.3133,10.78,93,100,7.29,light snow
272,Ardabil,IR,38.2498,48.2933,49.12,73,91,2.89,overcast clouds
273,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,18.41,scattered clouds
274,Mantamados,GR,39.3117,26.3339,60.85,84,15,2.53,few clouds
275,Yulara,AU,-25.2406,130.9889,66.04,34,40,11.5,scattered clouds
276,Pitimbu,BR,-7.4706,-34.8086,81.19,77,49,12.41,scattered clouds
277,Magadan,RU,59.5667,150.8,23.41,67,96,9.17,overcast clouds
278,Namibe,AO,-15.1961,12.1522,64.65,74,73,9.13,broken clouds
279,Clyde River,CA,70.4692,-68.5914,20.21,82,93,13.09,overcast clouds
280,Gambo,CF,4.6482,22.2633,69.31,99,48,1.88,moderate rain
281,Kavaratti,IN,10.5669,72.642,80.62,78,84,1.39,broken clouds
282,Nome,US,64.5011,-165.4064,30.27,80,1,4.61,clear sky
283,Chuy,UY,-33.6971,-53.4616,59.63,76,100,4.14,moderate rain
284,Kyzyl-Suu,KG,42.3414,78.0056,30.34,42,0,8.75,clear sky
285,Calama,CL,-22.4667,-68.9333,68.49,15,0,28.77,clear sky
286,Kaltan,RU,53.5347,87.2457,37.58,94,100,13.87,light rain
287,Dudinka,RU,69.4058,86.1778,23.32,95,100,7.61,overcast clouds
288,Bandarbeyla,SO,9.4942,50.8122,77.29,82,23,7.27,few clouds
